Device: Vivobook_ASUSLaptop K6602HE_K6602HE  

Input Data:
Product 1: Weight = 5, Cost = 78
Product 2: Weight = 71, Cost = 58
Product 3: Weight = 39, Cost = 30
Product 4: Weight = 35, Cost = 22
Product 5: Weight = 54, Cost = 60
Product 6: Weight = 4, Cost = 79
Product 7: Weight = 53, Cost = 32
Product 8: Weight = 37, Cost = 56
Product 9: Weight = 30, Cost = 60
Product 10: Weight = 63, Cost = 47
Product 11: Weight = 38, Cost = 15
Product 12: Weight = 69, Cost = 34
Product 13: Weight = 66, Cost = 44
Product 14: Weight = 15, Cost = 4
Product 15: Weight = 42, Cost = 42
Product 16: Weight = 5, Cost = 80
Product 17: Weight = 12, Cost = 77
Product 18: Weight = 30, Cost = 14
Product 19: Weight = 4, Cost = 53
Product 20: Weight = 41, Cost = 36
Product 21: Weight = 58, Cost = 5
Product 22: Weight = 61, Cost = 63
Product 23: Weight = 29, Cost = 71
Product 24: Weight = 28, Cost = 50
Product 25: Weight = 79, Cost = 78
Product 26: Weight = 61, Cost = 61
Product 27: Weight = 65, Cost = 44
Product 28: Weight = 26, Cost = 50
Product 29: Weight = 33, Cost = 21
Product 30: Weight = 55, Cost = 20
Product 31: Weight = 16, Cost = 3
Product 32: Weight = 37, Cost = 33
Product 33: Weight = 25, Cost = 27
Product 34: Weight = 69, Cost = 66
Product 35: Weight = 63, Cost = 49
Product 36: Weight = 64, Cost = 48
Product 37: Weight = 22, Cost = 56
Product 38: Weight = 23, Cost = 73
Product 39: Weight = 52, Cost = 12
Product 40: Weight = 55, Cost = 35
Product 41: Weight = 57, Cost = 3
Product 42: Weight = 31, Cost = 48
Product 43: Weight = 62, Cost = 65
Product 44: Weight = 37, Cost = 51
Product 45: Weight = 74, Cost = 27
Product 46: Weight = 21, Cost = 51
Product 47: Weight = 27, Cost = 15
Product 48: Weight = 43, Cost = 13
Product 49: Weight = 3, Cost = 50
Product 50: Weight = 68, Cost = 30
Product 51: Weight = 16, Cost = 10
Product 52: Weight = 32, Cost = 17
Product 53: Weight = 16, Cost = 77
Product 54: Weight = 75, Cost = 38
Product 55: Weight = 36, Cost = 56
Product 56: Weight = 76, Cost = 20
Product 57: Weight = 5, Cost = 21
Product 58: Weight = 77, Cost = 48
Product 59: Weight = 5, Cost = 39
Product 60: Weight = 28, Cost = 14
Product 61: Weight = 72, Cost = 8
Product 62: Weight = 17, Cost = 72
Product 63: Weight = 18, Cost = 54
Product 64: Weight = 65, Cost = 77
Product 65: Weight = 2, Cost = 25
Product 66: Weight = 18, Cost = 43
Product 67: Weight = 63, Cost = 56
Product 68: Weight = 65, Cost = 48
Product 69: Weight = 34, Cost = 44
Product 70: Weight = 32, Cost = 45
Product 71: Weight = 21, Cost = 20
Product 72: Weight = 52, Cost = 61
Product 73: Weight = 74, Cost = 11
Product 74: Weight = 78, Cost = 4
Product 75: Weight = 63, Cost = 55
Product 76: Weight = 72, Cost = 11
Product 77: Weight = 16, Cost = 67
Product 78: Weight = 66, Cost = 43
Product 79: Weight = 78, Cost = 64
Product 80: Weight = 13, Cost = 56
Product 81: Weight = 30, Cost = 71
Product 82: Weight = 73, Cost = 17
Product 83: Weight = 21, Cost = 35
Product 84: Weight = 10, Cost = 4
Product 85: Weight = 67, Cost = 61
